code,name,altname,label,x,y
E06000029,Poole,,E06000029,402557.732049559,93413.5259146654
E07000127,West Lancashire,,E07000127,341708.306223707,412919.680671166
E07000042,Mid Devon,,E07000042,290590.904374824,109683.626732104
E07000211,Reigate and Banstead,,E07000211,526280.646637886,152000.095571646
E07000110,Maidstone,,E07000110,580248.810797318,151587.401254983
E07000198,Staffordshire Moorlands,,E07000198,401353.020043882,353565.621301929
E08000006,Salford,,E08000006,375536.468159647,399266.504193629
E08000008,Tameside,,E08000008,395930.322828509,397861.267697161
E07000090,Havant,,E07000090,471269.521617516,104765.589529473
E07000228,Mid Sussex,,E07000228,531460.557854219,126276.710780962
E07000115,Tonbridge and Malling,,E07000115,564564.565508319,155358.853718164
E06000030,Swindon,,E06000030,417852.141674657,185881.416031647
E09000033,Westminster,,E09000033,527746.409964769,180993.898597998
E08000016,Barnsley,,E08000016,431078.497805224,404459.135939759
E07000087,Fareham,,E07000087,454654.248786794,106184.168318109
E06000006,Halton,,E06000006,352242.097396938,383224.561321535
E07000010,Fenland,,E07000010,539785.295169158,298106.618128022
E06000024,North Somerset,,E06000024,344360.092416921,165875.210892547
E09000011,Greenwich,,E09000011,542856.254186949,177051.777171475
E08000013,St. Helens,,E08000013,352050.534806554,396101.264563747
E09000028,Southwark,,E09000028,533855.433353938,176787.238268188
E09000022,Lambeth,,E09000022,530839.647720382,174437.428452784
E07000073,Harlow,,E07000073,545591.711159636,209844.189835124
E06000008,Blackburn with Darwen,,E06000008,369223.740660368,421898.445633548
E07000191,West Somerset,,E07000191,295818.461947244,138250.335882163
E07000009,East Cambridgeshire,,E07000009,556422.61490627,274127.35775558
E07000114,Thanet,,E07000114,632697.243608046,167011.856847771
E06000047,County Durham,,E06000047,410417.268431148,533392.242565223
E07000080,Forest of Dean,,E07000080,366321.115065655,214521.276258917
E08000022,North Tyneside,,E08000022,430966.338722057,570503.93105018
E07000085,East Hampshire,,E07000085,473298.547486571,131100.119260532
E07000179,South Oxfordshire,,E07000179,464364.464280591,193179.641680017
E07000129,Blaby,,E07000129,452827.653300168,297360.772836617
E07000181,West Oxfordshire,,E07000181,434069.518820186,215554.539349661
E07000173,Gedling,,E07000173,459162.900586934,348260.415204688
E07000086,Eastleigh,,E07000086,447375.381261571,115056.173207112
E08000018,Rotherham,,E08000018,447552.245905676,390436.784010095
E06000055,Bedford,,E06000055,504204.72764882,255641.513903824
E07000006,South Bucks,,E07000006,497845.848756186,185107.868995942
E07000176,Rushcliffe,,E07000176,464824.112764676,334145.335520793
E07000065,Wealden,,E07000065,554480.957867754,120958.313853789
E06000023,"Bristol, City of",,E06000023,346537.343559093,172922.912538162
